Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well are the tutorials paced?,What track are you in?,,How well is the schedule paced?,#,How likely is it that you would recommend the Make School Summer Academy to a friend?,location,track,Start Date (UTC),Submit Date (UTC),Network ID
6/23/2016 15:55:12,3,4,,,,,,,,,,
6/24/2016 7:03:34,3,5,Games,,,,,,,,,
6/24/2016 14:02:56,3,2,Apps,,,,,,,,,
,2,4,Games,6/24/2016 13:32:01,,,,,,,,
6/23/2016 22:24:53,2,3,,,,,,,,,,
6/30/2016 14:09:14,4,,,,2,,,,,,,
7/1/2016 6:41:31,3,,Apps,,2,,,,,,,
7/1/2016 16:35:14,2,,Apps,,3,,,,,,,
7/1/2016 5:41:15,4,,,,3,,,,,,,
7/1/2016 13:27:56,3,,Apps,,4,,,,,,,
7/8/2016 10:31:27,4,,,,2,,,,,,,
7/8/2016 6:21:11,4,,Apps,,3,,,,,,,
7/8/2016 15:56:20,3,,Apps,,2,,,,,,,
7/8/2016 7:36:11,4,,,,3,,,,,,,
7/8/2016 12:52:08,5,,Games,,2,,,,,,,
7/15/2016 13:20:35,5,,,,3,,,,,,,
7/15/2016 6:28:26,5,,Apps,,3,,,,,,,
7/15/2016 15:26:38,5,,Apps,,3,,,,,,,
7/15/2016 2:45:00,4,,,,3,,,,,,,
7/15/2016 13:30:19,2,,Apps,,1,,,,,,,
7/21/2016 21:57:59,4,3,,,,,,,,,,
7/22/2016 16:15:37,3,,Games,,2,,,,,,,
7/22/2016 13:29:33,5,,Apps,,5,,,,,,,
,3,,Apps,,3,,,,,,,
7/22/2016 1:30:17,4,,,,3,,,,,,,
7/22/2016 12:52:43,4,,Apps,,3,,,,,,,
7/29/2016 0:19:08,5,,,,3,,,,,,,
7/31/2016 8:43:57,5,,Games,,3,,,,,,,
7/29/2016 6:54:22,2,,Apps,,2,,,,,,,
7/29/2016 15:17:19,4,,Apps,,3,,,,,,,
7/29/2016 19:18:44,4,,,,3,,,,,,,
7/29/2016 13:46:28,4,,Apps,,3,,,,,,,
7/29/2016 1:07:23,5,,,,3,,,,,,,
7/31/2016 1:04:57,3,,,,4,,,,,,,
8/5/2016 11:22:50,3,,Intro,,2,,,,,,,
8/5/2016 12:34:16,3,,Apps,,3,,,,,,,
8/5/2016 11:13:01,5,,Apps,,5,,,,,,,
8/5/2016 13:37:43,3,,Apps,,3,,,,,,,
8/5/2016 1:39:41,3,,,,3,,,,,,,
,,,,,,00b836bda84e6bdbe780af97e249e59f,10,New York,summerApps,9/7/16 1:03,9/7/16 1:04,3212b7a834
